Line_No.,Start_Date,Start_Time,End_Date,End_Time,Rep_No.,Treatment,Wrack_treatment,Algae_Spp.,Algae_trt,Algae_Wi,Algae_Wf,Algae_ CF_Cf/Ci,Algae_Wd,Total_Benthic_Algae_Consumed,Total_Wrack_Algae_Consumed,Total_Algae_Consumed ,Water_Temp,Air_Temp,Flow_Rate,Teg_Biomass,Hermit_Biomass,Pachy_Biomass
1,9/11/19,19:43,9/13/19,0:40,1,Exp,Native,Macro,Wrack,13.8005,13.1519,NA,1.0654,5.4945,1.0654,6.5599,24,24.5,0.0307,17.7597,14.528,5.585
2,9/11/19,19:43,9/13/19,0:40,1,Exp,Native,Centroceras,Centroceras,12.2728,11.8787,NA,0.5898,NA,NA,NA,24,24.5,0.0307,,,
3,9/11/19,19:43,9/13/19,0:40,1,Exp,Native,Silvetia,Silvetia,11.8621,7.5014,NA,4.5095,NA,NA,NA,24,24.5,0.0307,,,
4,9/11/19,19:43,9/13/19,0:40,1,Exp,Native,Ulva,Ulva,12.228,12.2031,NA,0.3952,NA,NA,NA,24,24.5,0.0307,,,
5,9/11/19,19:43,9/13/19,0:40,1,Exp,Invasive,Sargassum,Wrack,11.6541,11.3994,NA,0.6341,4.3787,0.6341,5.0128,24,24.5,0.0307,23.667,14.6902,4.7604
6,9/11/19,19:43,9/13/19,0:40,1,Exp,Invasive,Centroceras,Centroceras,12.6484,11.9097,NA,1.0062,NA,NA,NA,24,24.5,0.0307,,,
7,9/11/19,19:43,9/13/19,0:40,1,Exp,Invasive,Silvetia,Silvetia,10.9731,8.4538,NA,2.6829,NA,NA,NA,24,24.5,0.0307,,,
8,9/11/19,19:43,9/13/19,0:40,1,Exp,Invasive,Ulva,Ulva,10.8639,10.5644,NA,0.6896,NA,NA,NA,24,24.5,0.0307,,,
9,9/11/19,19:43,9/13/19,0:40,MC1.2M,Cont,Native,Macro,Wrack,10.6713,10.9936,1.030202506,NA,NA,NA,NA,24,24.5,0.0307,,,
10,9/11/19,19:43,9/13/19,0:40,MC1.2C ,Cont,Native,Centroceras,Centroceras,14.4782,14.7091,1.015948115,NA,NA,NA,NA,24,24.5,0.0307,,,
11,9/11/19,19:43,9/13/19,0:40,MC1.2S,Cont,Native,Silvetia,Silvetia,11.8008,11.9488,1.012541523,NA,NA,NA,NA,24,24.5,0.0307,,,
12,9/11/19,19:43,9/13/19,0:40,MC1.2U,Cont,Native,Ulva,Ulva,10.5667,10.8867,1.030283816,NA,NA,NA,NA,24,24.5,0.0307,,,
13,9/11/19,19:43,9/13/19,0:40,SC1.2SA,Cont,Invasive,Sargassum,Wrack,13.243,13.6741,1.032553047,NA,NA,NA,NA,24,24.5,0.0307,,,
14,9/11/19,19:43,9/13/19,0:40,SC1.2C,Cont,Invasive,Centroceras,Centroceras,11.4381,11.68,1.021148617,NA,NA,NA,NA,24,24.5,0.0307,,,
15,9/11/19,19:43,9/13/19,0:40,SC1.2S,Cont,Invasive,Silvetia,Silvetia,11.752,11.9272,1.014908101,NA,NA,NA,NA,24,24.5,0.0307,,,
16,9/11/19,19:43,9/13/19,0:40,SC1.2U,Cont,Invasive,Ulva,Ulva,10.9903,11.3849,1.035904388,NA,NA,NA,NA,24,24.5,0.0307,,,
17,9/11/19,19:43,9/13/19,0:40,2,Exp,Native,Macro,Wrack,10.1081,8.3101,NA,2.1033,7.4746,2.1033,9.5779,24,24.5,0.0307,23.6063,15.6987,5.0843
18,9/11/19,19:43,9/13/19,0:40,2,Exp,Native,Centroceras,Centroceras,11.0114,10.5556,NA,0.6314,NA,NA,NA,24,24.5,0.0307,,,
19,9/11/19,19:43,9/13/19,0:40,2,Exp,Native,Silvetia,Silvetia,13.347,6.924,NA,6.5904,NA,NA,NA,24,24.5,0.0307,,,
20,9/11/19,19:43,9/13/19,0:40,2,Exp,Native,Ulva,Ulva,11.6038,11.7024,NA,0.2528,NA,NA,NA,24,24.5,0.0307,,,
21,9/11/19,19:43,9/13/19,0:40,2,Exp,Invasive,Sargassum,Wrack,11.4081,10.8182,NA,0.9613,6.0769,0.9613,7.0382,24,24.5,0.0307,16.5483,12.8085,5.2116
22,9/11/19,19:43,9/13/19,0:40,2,Exp,Invasive,Centroceras,Centroceras,12.3907,12.3814,NA,0.2713,NA,NA,NA,24,24.5,0.0307,,,
23,9/11/19,19:43,9/13/19,0:40,2,Exp,Invasive,Silvetia,Silvetia,11.7425,6.293,NA,5.6246,NA,NA,NA,24,24.5,0.0307,,,
24,9/11/19,19:43,9/13/19,0:40,2,Exp,Invasive,Ulva,Ulva,10.2254,10.4115,NA,0.181,NA,NA,NA,24,24.5,0.0307,,,
25,9/11/19,19:43,9/12/19,14:00,3,Exp,Native,Macro,Wrack,13.1858,11.6917,NA,2.1215,3.7623,2.1215,5.8838,24,24.5,0.0307,19.2259,16.788,1.704
26,9/11/19,19:43,9/12/19,14:00,3,Exp,Native,Centroceras,Centroceras,10.9616,10.9072,NA,0.3795,NA,NA,NA,24,24.5,0.0307,,,
27,9/11/19,19:43,9/12/19,14:00,3,Exp,Native,Silvetia,Silvetia,10.6458,7.735,NA,3.2428,NA,NA,NA,24,24.5,0.0307,,,
28,9/11/19,19:43,9/12/19,14:00,3,Exp,Native,Ulva,Ulva,11.138,11.3216,NA,0.14,NA,NA,NA,24,24.5,0.0307,,,
29,9/11/19,19:43,9/12/19,14:00,3,Exp,Invasive,Sargassum,Wrack,14.98,15.0032,NA,-0.2499,4.7589,-0.2499,4.509,24,24.5,0.0307,25.1025,11.8083,2.1086
30,9/11/19,19:43,9/12/19,14:00,3,Exp,Invasive,Centroceras,Centroceras,13.3405,12.8905,NA,-0.0532,NA,NA,NA,24,24.5,0.0307,,,
31,9/11/19,19:43,9/12/19,14:00,3,Exp,Invasive,Silvetia,Silvetia,11.9182,7.3071,NA,3.8027,NA,NA,NA,24,24.5,0.0307,,,
32,9/11/19,19:43,9/12/19,14:00,3,Exp,Invasive,Ulva,Ulva,11.5704,11.5018,NA,1.0094,NA,NA,NA,24,24.5,0.0307,,,
33,9/11/19,19:43,9/12/19,14:00,MC3.4M,Cont,Native,Macro,Wrack,11.4735,12.0194,1.047579204,NA,NA,NA,NA,24,24.5,0.0307,,,
34,9/11/19,19:43,9/12/19,14:00,MC3.4C ,Cont,Native,Centroceras,Centroceras,10.082,10.381,1.029656814,NA,NA,NA,NA,24,24.5,0.0307,,,
35,9/11/19,19:43,9/12/19,14:00,MC3.4S,Cont,Native,Silvetia,Silvetia,11.1765,11.525,1.031181497,NA,NA,NA,NA,24,24.5,0.0307,,,
36,9/11/19,19:43,9/12/19,14:00,MC3.4U,Cont,Native,Ulva,Ulva,11.6078,11.9451,1.029058047,NA,NA,NA,NA,24,24.5,0.0307,,,
37,9/11/19,19:43,9/12/19,14:00,SC3.4SA,Cont,Invasive,Sargassum,Wrack,11.7894,11.611,0.984867763,NA,NA,NA,NA,24,24.5,0.0307,,,
38,9/11/19,19:43,9/12/19,14:00,SC3.4C ,Cont,Invasive,Centroceras,Centroceras,12.3945,11.927,0.962281657,NA,NA,NA,NA,24,24.5,0.0307,,,
39,9/11/19,19:43,9/12/19,14:00,SC3.4S,Cont,Invasive,Silvetia,Silvetia,11.4807,10.702,0.932173125,NA,NA,NA,NA,24,24.5,0.0307,,,
40,9/11/19,19:43,9/12/19,14:00,SC3.4U,Cont,Invasive,Ulva,Ulva,10.5372,11.394,1.081311923,NA,NA,NA,NA,24,24.5,0.0307,,,
41,9/11/19,19:43,9/12/19,14:00,4,Exp,Native,Macro,Wrack,13.4335,12.196,NA,1.8767,2.8831,1.8767,4.7598,24,24.5,0.0307,22.9483,15.3152,2.2788
42,9/11/19,19:43,9/12/19,14:00,4,Exp,Native,Centroceras,Centroceras,10.6947,10.7333,NA,0.2786,NA,NA,NA,24,24.5,0.0307,,,
43,9/11/19,19:43,9/12/19,14:00,4,Exp,Native,Silvetia,Silvetia,10.4742,8.5451,NA,2.2557,NA,NA,NA,24,24.5,0.0307,,,
44,9/11/19,19:43,9/12/19,14:00,4,Exp,Native,Ulva,Ulva,13.5556,13.6007,NA,0.3488,NA,NA,NA,24,24.5,0.0307,,,
45,9/11/19,19:43,9/12/19,14:00,4,Exp,Invasive,Sargassum,Wrack,11.0823,11.3123,NA,-0.3977,1.8857,-0.3977,1.488,24,24.5,0.0307,25.5476,13.4296,2.196
46,9/11/19,19:43,9/12/19,14:00,4,Exp,Invasive,Centroceras,Centroceras,11.6421,11.3235,NA,-0.1205,NA,NA,NA,24,24.5,0.0307,,,
47,9/11/19,19:43,9/12/19,14:00,4,Exp,Invasive,Silvetia,Silvetia,10.7374,7.1592,NA,2.8499,NA,NA,NA,24,24.5,0.0307,,,
48,9/11/19,19:43,9/12/19,14:00,4,Exp,Invasive,Ulva,Ulva,12.1366,13.9672,NA,-0.8437,NA,NA,NA,24,24.5,0.0307,,,
