grazer_spp.,box_label,animal_label,diet,shell_length_i,shell_length_w2,shell_length_w3,shell_length_f,imageJ_Li,imageJ_Lf,shell_width_i,imageJ_Wf,imageJ_Ai,imageJ_Af,wetmass_i,wetmass_2,wetmass_3,wetmass_f,wetmass_total_Wd,buoyant_Wi,buoyant_W2,buoyant_W3,buoyant_Wf,righting_time_1,righting_time_2,righting_attempts_final,terminal_wet_tissue_mass,terminal_gonad_wet_mass,terminal_nongonad_wet_mass,terminal_shell_wet_mass,tissue_sampled,terminal_dry_tissue_mass,terminal_gonad_dry_mass,terminal_nongonad_dry_mass,terminal_shell_dry_mass,terminal_total_dry_mass,est_total_dry_mass_i,est_tissue_dry_mass_i,est_non_gonad_dry_mass_i,est_gonad_dry_mass_i,est_shell_dry_mass_i,Water_Temp,treatment,Water_Temp
red abalone,1,neon pink 1 ,sargassum,50.33,NA,51.01,51.01,5.21,5.147,35.34,3.71,15.255,15.255,15.1615,16.7994,NA,15.9639,0.8024,3.43,3.43,NA,3.45,11,64,3,7.0993,3.0761,3.3821,5.2973,0.6411,1.4286,0.6215,0.8071,4.9634,7.8206,5.7999,1.3327,0.8559,0.7506,4.4676,14,4,14
red abalone,2,neon pink 2,macro,55.93,NA,57.43,57.95,5.884,5.889,37.8,4.182,18.662,19.662,24.2411,24.8592,NA,26.3605,2.1194,4.48,4.92,NA,4.97,9,65,NA,12.7833,4.7319,6.9734,7.3143,1.078,2.7076,0.9953,1.7123,6.9619,12.3771,8.9395,2.2192,1.4679,0.358,6.7207,14,2,14
red abalone,3,neon pink 3,starved,47.92,NA,49.17,49.21,5.012,4.954,33.42,3.552,13.895,13.734,14.7113,15.5916,NA,13.1428,-1.5685,2.9,2.84,NA,2.76,21,32,2,6.373,2.3919,3.3277,4.4471,0.6534,1.0146,0.3819,0.6327,4.2032,6.2324,4.4488,0.9513,0.5925,0.6423,3.4979,14,1,14
red abalone,4,neon pink 4,mixed,53.72,NA,54.91,55.24,5.575,5.64,36.66,4.163,17.694,18.54,22.9146,24.8263,NA,24.5965,1.6819,4.5,5,NA,4.98,9,28,2,10.5262,4.3843,5.0969,7.6448,1.045,2.1389,0.8522,1.2867,7.2922,11.57,7.7005,1.8693,1.2264,0.6183,5.8315,14,3,14
red abalone,5,neon pink 5,sargassum,53.23,NA,53.7,53.98,5.433,5.42,35.31,3.846,16.163,16.686,20.181,21.9944,NA,22.478,2.297,4,4.52,NA,4.56,7,27,2,9.7929,4.1854,4.8006,6.9955,0.8069,1.8824,0.7483,1.1341,6.6073,10.3721,7.4258,1.7918,1.1728,0.8874,5.6344,14,4,14
red abalone,6,neon pink 6,macro,58.72,NA,59.74,59.57,6.085,6.025,39.78,4.324,20.174,20.349,28.3177,30.938,NA,31.5212,3.2035,6.08,6.31,NA,6.25,8,43,3,14.691,5.5964,7.4997,9.442,1.5949,2.6439,1.0099,1.634,9.0408,14.3286,10.5037,2.6608,1.7728,0.8173,7.8432,14,2,14
red abalone,7,neon pink 7,starved,57.29,NA,57.47,57.48,5.893,5.826,38.36,4.081,19.11,19.046,26.1508,25.0952,NA,23.3714,-2.7794,5.15,4.99,NA,5.03,13,20,1,9.8223,4.1464,4.7596,7.8018,0.9163,1.655,0.6148,1.0402,7.3673,10.6773,9.702,2.4344,1.6165,0.434,7.2679,14,1,14
red abalone,8,neon pink 8,mixed,49.47,NA,50.26,51.52,5.077,5.217,33.39,3.807,14.355,15.675,16.7484,20.4931,NA,18.2292,1.4808,3.4,3.65,NA,3.75,16,47,2,9.3182,3.846,4.4586,5.6652,1.0136,1.8591,0.7601,1.099,5.2482,8.9664,5.3178,1.1966,0.7619,0.7094,4.1216,14,3,14
red abalone,9,neon pink 9,sargassum,55.09,NA,55.38,55.47,5.699,5.627,37.2,4.031,17.924,18.141,22.6227,25.6442,NA,25.7036,3.0809,4.94,4.9,NA,5,10,63,NA,10.0454,4.0788,4.9899,7.7653,0.9767,1.905,0.7488,1.1562,7.3279,11.1379,8.4685,2.0862,1.3761,0.7771,6.3827,14,4,14
red abalone,10,neon pink 10,macro,56.47,NA,57.24,57.49,5.756,5.821,36.42,4.028,17.298,18.599,24.808,27.6006,NA,29.492,4.684,4.89,5.21,NA,5.36,16,12,1,12.883,4.9239,6.762,8.0052,1.1971,2.5689,0.9891,1.5798,7.5982,12.736,9.2422,2.3046,1.5269,0.4551,6.9379,14,2,14
red abalone,11,neon pink 11,starved,49.9,NA,50.62,50.61,5.142,5.096,32.71,3.49,14.201,14.203,15.7696,14.4154,NA,15.4985,-0.2711,3.02,3.19,NA,3.18,9,27,2,7.1998,2.8309,3.6996,4.8528,0.6693,1.1603,0.4202,0.7401,4.6016,6.9222,5.5588,1.2647,0.8089,1.153,4.2946,14,1,14
red abalone,12,neon pink 12,mixed,64.14,NA,64.79,64.89,6.651,6.552,44.45,4.689,24.474,24.325,36.7812,38.2626,NA,40.0519,3.2707,7.12,7.44,NA,7.52,42,15,1,19.4263,7.4322,10.8087,10.8797,1.1854,3.8565,1.3198,2.5367,10.5264,18.2394,13.5423,3.5187,2.365,0.4933,10.0239,14,3,14
red abalone,13,neon pink 13,sargassum,50.68,NA,51.66,53.05,5.174,5.346,33.27,3.799,14.592,16.123,19.3961,20.1864,NA,19.924,0.5279,4.09,4.36,NA,4.29,8,104,NA,8.2549,3.5786,3.8143,6.907,0.862,1.6298,0.6873,0.9425,6.5538,9.8134,5.9961,1.3881,0.8941,0.4903,4.6084,14,4,14
red abalone,14,neon pink 14,macro,50.62,NA,51.71,52.43,5.236,5.307,34.6,3.79,15.308,16.226,20.107,20.5367,NA,21.0402,0.9332,3.954,4.35,NA,4.36,11,22,1,10.6441,4.3234,5.2557,6.5548,1.065,2.0441,0.8423,1.2018,6.2546,10.3428,5.9625,1.3786,0.8876,0.907,4.5843,14,2,14
